Player ID,Player Name,Rank,Ranking Score,Auto Score,Endgame Score,Teleop Score,Match Score,,Average Points Contributed,,Matches Played,,Ranking Points,Auto Points,Endgame Points,Teleop Points,Match Points,Total Points Contributed,,Avg Power Cells
1,Player1,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
2,Player2,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
3,Player3,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
4,Player4,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
5,Player5,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
6,Player6,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
7,Player7,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
8,Player8,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
9,Player9,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
10,Player10,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
11,Player11,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
12,Player12,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
13,Player13,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
14,Player14,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
15,Player15,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
16,Player16,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
17,Player17,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
18,Player18,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
19,Player19,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
20,Player20,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
21,Player21,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
